Area,Status,Floor,Transaction,Furnishing,Society,Car Parking,Bathroom,Balcony,price,BHK_type,Address,Type,Main Road,Pool,Garden/Park,pricepersqft
457.0,Ready to Move,4.0,Resale,Unfurnished,127 Raj Home,Unknown,2.0,1.0,0.67,1,Mira Road East Mumbai,Apartment,1,0,0,1466.08
418.0,Under Construction,17.0,New Property,Unfurnished,Swastik Plat,1 Open,2.0,1.0,0.91,1,Unknown,Apartment,1,0,1,2177.03
384.0,Ready to Move,3.0,Resale,Semi-Furnished,Hiranandani Zen Maple,1 Covered,1.0,2.0,1.48,1,Powai Mumbai,Apartment,0,0,1,3854.17
415.0,Ready to Move,15.0,Resale,Unfurnished,Arunoday Heritage,Unknown,2.0,2.0,1.25,1,Bhandup West Mumbai,Apartment,0,0,1,3012.05
427.0,Under Construction,10.0,New Property,Unfurnished,RIPL Aikya Roots,1 Covered,2.0,1.0,1.24,1,Vikhroli Mumbai,Apartment,1,0,0,2903.98
420.0,Ready to Move,1.0,Resale,Semi-Furnished,Lily White,1 Covered,1.0,1.0,1.48,1,Shyam Nagar Jogeshwari East Mumbai,Apartment,1,0,1,3523.81
511.0,Ready to Move,0.0,Resale,Semi-Furnished,Lodha New Cuffe Parade,1 Covered,1.0,2.0,1.78,1,Wadala Mumbai,Apartment,1,1,1,3483.37
472.0,Ready to Move,15.0,New Property,Unfurnished,Raheja Residency,1 Covered,1.0,1.0,1.35,1,Unknown,Apartment,1,1,1,2860.17
467.0,Under Construction,0.0,New Property,Unfurnished,Paranjape Aspire,1 Covered,1.0,2.0,1.57,1,Andheri West Mumbai,Apartment,0,0,0,3361.88
430.0,Ready to Move,14.0,Resale,Semi-Furnished,MICL Aaradhya High Park,Unknown,2.0,1.0,0.85,1,Mira Road East Mumbai,Apartment,1,1,1,1976.74
430.0,Ready to Move,8.0,Resale,Unfurnished,Vasant Sagar,Unknown,2.0,1.0,1.06,1,Kandivali East Mumbai,Apartment,1,1,1,2465.12
385.0,Ready to Move,9.0,New Property,Unfurnished,Strawberry Onyx,1 Open,2.0,2.0,0.68,1,Beverly Park Mumbai,Apartment,1,0,1,1766.23
415.0,Ready to Move,0.0,Resale,Unfurnished,Ashok Odyssey,Unknown,2.0,2.0,1.1,1,Ghatkopar West Mumbai,Apartment,1,1,1,2650.6
440.0,Ready to Move,4.0,Resale,Semi-Furnished,Bhoomi Enclave,1 Open,2.0,1.0,1.25,1,Kandivali West Mumbai,Apartment,1,0,0,2840.91
550.0,Ready to Move,7.0,Resale,Semi-Furnished,Shankar Vilas,1 Covered,2.0,2.0,1.95,1,Chembur East Mumbai,Apartment,1,0,1,3545.45
402.0,Under Construction,10.0,New Property,Unfurnished,Mahaveer Solitaire Edge,Unknown,1.0,1.0,1.09,1,Kandivali East Mumbai,Apartment,1,0,0,2711.44
400.0,Ready to Move,3.0,Resale,Unfurnished,Eversh,Unknown,2.0,2.0,1.1,1,Unknown,Apartment,0,0,1,2750.0
450.0,Ready to Move,-1.0,Resale,Semi-Furnished,Haze Apartment,Unknown,1.0,1.0,0.95,1,Kurla East Mumbai,Apartment,1,0,1,2111.11
441.0,Under Construction,3.0,New Property,Unfurnished,Asshna Seabliss,1 Covered,1.0,1.0,1.63,1,Seven Bungalows Mumbai,Apartment,0,0,1,3696.15
